Player,Season,Round,AF
Scott McMahon,2010,Round 3,66
Lachlan Hansen,2010,Round 3,61
Aaron Edwards,2010,Round 3,83
Leigh Adams,2010,Round 3,70
Scott Thompson,2010,Round 3,64
Samuel Wright,2010,Round 3,58
David Hale,2010,Round 3,63
Ben Warren,2010,Round 3,54
Hamish McIntosh,2010,Round 3,58
Todd Goldstein,2010,Round 3,66
Leigh Harding,2010,Round 3,43
Lindsay Thomas,2010,Round 3,44
Matthew Priddis,2010,Round 3,116
Matthew Rosa,2010,Round 3,120
Brad Ebert,2010,Round 3,111
Andrew Embley,2010,Round 3,111
Bradd Dalziell,2010,Round 3,61
Brett Jones,2010,Round 3,87
Will Schofield,2010,Round 3,66
Daniel Kerr,2010,Round 3,55
Adam Selwood,2010,Round 3,75
Beau Waters,2010,Round 3,64
Chris Masten,2010,Round 3,75
Scott Selwood,2010,Round 3,63
Dean Cox,2010,Round 3,73
Luke Shuey,2010,Round 3,46
Darren Glass,2010,Round 3,54
Nicholas Naitanui,2010,Round 3,62
Mark Lecras,2010,Round 3,67
Mitchell Brown,2010,Round 3,60
Ashley Hansen,2010,Round 3,68
Matthew Spangher,2010,Round 3,50
Tom Swift,2010,Round 3,40
Joshua Kennedy,2010,Round 3,63
Jude Bolton,2010,Round 3,115
Heath Grundy,2010,Round 3,114
Ben McGlynn,2010,Round 3,142
Jarrad McVeigh,2010,Round 3,99
Nick Malceski,2010,Round 3,119
Josh P. Kennedy,2010,Round 3,101
Rhyce Shaw,2010,Round 3,86
Tadhg Kennelly,2010,Round 3,82
Brett Kirk,2010,Round 3,71
Ryan O'Keefe,2010,Round 3,91
Adam Goodes,2010,Round 3,106
Lewis R-Thomson,2010,Round 3,86
Kieren Jack,2010,Round 3,71
Daniel Hannebery,2010,Round 3,59
Lewis Jetta,2010,Round 3,56
Martin Mattner,2010,Round 3,78
Shane Mumford,2010,Round 3,78
Jarred Moore,2010,Round 3,73
Craig Bolton,2010,Round 3,59
Daniel Bradshaw,2010,Round 3,80
Jesse White,2010,Round 3,39
Mark Seaby,2010,Round 3,30
Daniel Jackson,2010,Round 3,86
Dustin Martin,2010,Round 3,64
Brett Deledio,2010,Round 3,79
Shane Edwards,2010,Round 3,81
Daniel Connors,2010,Round 3,73
Shane Tuck,2010,Round 3,63
Jack Riewoldt,2010,Round 3,96
Ben Nason,2010,Round 3,70
Chris Newman,2010,Round 3,48
Ben Cousins,2010,Round 3,64
Dean Polo,2010,Round 3,62
Troy Simmonds,2010,Round 3,59
Tyrone Vickery,2010,Round 3,59
Mitch Morton,2010,Round 3,54
Luke McGuane,2010,Round 3,41
Matthew White,2010,Round 3,53
Richard Tambling,2010,Round 3,30
Trent Cotchin,2010,Round 3,41
Kelvin Moore,2010,Round 3,26
Alex Rance,2010,Round 3,24
Jayden Post,2010,Round 3,32
Relton Roberts,2010,Round 3,18
Andrew Carrazzo,2010,Round 3,91
Kade Simpson,2010,Round 3,120
Marc Murphy,2010,Round 3,78
Heath Scotland,2010,Round 3,85
Bryce Gibbs,2010,Round 3,67
Andrew Walker,2010,Round 3,74
Eddie Betts,2010,Round 3,83
Kane Lucas,2010,Round 3,67
Ryan Houlihan,2010,Round 3,66
Jordan Russell,2010,Round 3,56
Lachlan Henderson,2010,Round 3,71
Jarrad Waite,2010,Round 3,69
Mitch Robinson,2010,Round 3,71
Christopher Yarran,2010,Round 3,56
Matthew Kreuzer,2010,Round 3,69
Bret Thornton,2010,Round 3,54
Robert Warnock,2010,Round 3,52
Dennis Armfield,2010,Round 3,39
Setanta O'hAilpin,2010,Round 3,38
Michael Jamison,2010,Round 3,45
Aaron Joseph,2010,Round 3,33
Brock McLean,2010,Round 3,32
Nathan L-Murray,2010,Round 3,96
Rick Dyson,2010,Round 3,113
Brent Stanton,2010,Round 3,109
Jobe Watson,2010,Round 3,83
Bachar Houli,2010,Round 3,89
Courtenay Dempsey,2010,Round 3,84
Tayte Pears,2010,Round 3,76
Dustin Fletcher,2010,Round 3,84
Travis Colyer,2010,Round 3,68
Jake Melksham,2010,Round 3,57
Jason Winderlich,2010,Round 3,73
Kyle Reimers,2010,Round 3,114
Andrew Welsh,2010,Round 3,61
Heath Hocking,2010,Round 3,98
Cale Hooker,2010,Round 3,57
David Hille,2010,Round 3,66
David Zaharakis,2010,Round 3,59
Henry Slattery,2010,Round 3,49
Patrick Ryder,2010,Round 3,84
Sam Lonergan,2010,Round 3,53
Scott Gumbleton,2010,Round 3,56
Mark Williams,2010,Round 3,53
Kane Cornes,2010,Round 3,94
Steven Salopek,2010,Round 3,113
Nathan Krakouer,2010,Round 3,86
Danyle Pearce,2010,Round 3,72
Troy Chaplin,2010,Round 3,76
Alipate Carlile,2010,Round 3,74
Travis Boak,2010,Round 3,92
Tom Logan,2010,Round 3,66
Jacob Surjan,2010,Round 3,64
Justin Westhoff,2010,Round 3,61
Warren Tredrea,2010,Round 3,95
Domenic Cassisi,2010,Round 3,59
Cameron Cloke,2010,Round 3,48
Chad Cornes,2010,Round 3,45
Matt Thomas,2010,Round 3,45
Cameron Hitchcock,2010,Round 3,57
Jay Schulz,2010,Round 3,67
Paul Stewart,2010,Round 3,47
Jason Davenport,2010,Round 3,76
Jackson Trengove,2010,Round 3,50
Mitchell Banner,2010,Round 3,38
Brett Ebert,2010,Round 3,50
Matthew Maguire,2010,Round 3,111
Michael Rischitelli,2010,Round 3,105
Tom Rockliff,2010,Round 3,87
James Polkinghorne,2010,Round 3,79
Brent Staker,2010,Round 3,84
Ashley McGrath,2010,Round 3,83
Justin Sherman,2010,Round 3,93
Josh Drummond,2010,Round 3,79
Daniel Rich,2010,Round 3,92
Luke Power,2010,Round 3,67
Andrew Raines,2010,Round 3,60
Jack Redden,2010,Round 3,95
Matthew Leuenberger,2010,Round 3,85
Jonathan Brown,2010,Round 3,94
Travis Johnstone,2010,Round 3,66
Brendan Fevola,2010,Round 3,65
James Hawksley,2010,Round 3,66
Todd Banfield,2010,Round 3,73
Mitchell Clark,2010,Round 3,69
Joel Patfull,2010,Round 3,67
Simon Black,2010,Round 3,45
Daniel Merrett,2010,Round 3,49
James Frawley,2010,Round 3,88
James McDonald,2010,Round 3,109
Cameron Bruce,2010,Round 3,90
Brent Moloney,2010,Round 3,83
Jack Trengove,2010,Round 3,83
Brad Green,2010,Round 3,111
Rohan Bail,2010,Round 3,87
Aaron Davey,2010,Round 3,79
Lynden Dunn,2010,Round 3,94
Nathan Jones,2010,Round 3,74
Clint Bartram,2010,Round 3,66
Jack Grimes,2010,Round 3,81
Jamie Bennell,2010,Round 3,105
Joel Macdonald,2010,Round 3,69
Tom Scully,2010,Round 3,56
Matthew Bate,2010,Round 3,78
Jordie McKenzie,2010,Round 3,60
Michael Newton,2010,Round 3,58
Colin Garland,2010,Round 3,40
Matthew Warnock,2010,Round 3,31
Ricky Petterd,2010,Round 3,49
Mark Jamar,2010,Round 3,53
Bernie Vince,2010,Round 3,113
Simon Goodwin,2010,Round 3,116
David MacKay,2010,Round 3,89
Michael Doughty,2010,Round 3,99
Scott Thompson,2010,Round 3,78
Tyson Edwards,2010,Round 3,74
Richard Douglas,2010,Round 3,74
Chris Schmidt,2010,Round 3,81
Brent Reilly,2010,Round 3,79
Ivan Maric,2010,Round 3,91
Jared Petrenko,2010,Round 3,66
Brett Burton,2010,Round 3,101
Nathan Bock,2010,Round 3,59
Chris Knights,2010,Round 3,68
Jason Porplyzia,2010,Round 3,65
Andrew McLeod,2010,Round 3,40
Ben Rutten,2010,Round 3,61
Taylor Walker,2010,Round 3,62
Myke Cook,2010,Round 3,41
Patrick Dangerfield,2010,Round 3,30
Kurt Tippett,2010,Round 3,33
Trent Hentschel,2010,Round 3,8
Matthew Boyd,2010,Round 3,154
Ryan Griffen,2010,Round 3,126
Daniel Cross,2010,Round 3,105
Brian Lake,2010,Round 3,111
Adam Cooney,2010,Round 3,93
Shaun Higgins,2010,Round 3,106
Lindsay Gilbee,2010,Round 3,97
Jarrod Harbrow,2010,Round 3,100
Daniel Giansiracusa,2010,Round 3,72
Will Minson,2010,Round 3,64
Andrejs Everitt,2010,Round 3,67
Josh Hill,2010,Round 3,80
Barry Hall,2010,Round 3,109
Robert Murphy,2010,Round 3,69
Tom Williams,2010,Round 3,38
Brodie Moles,2010,Round 3,63
Mitch Hahn,2010,Round 3,53
Ben Hudson,2010,Round 3,63
Jason Akermanis,2010,Round 3,39
Liam Picken,2010,Round 3,44
Dale Morris,2010,Round 3,32
Ryan Hargrave,2010,Round 3,9
Sam Mitchell,2010,Round 3,112
Luke Hodge,2010,Round 3,125
Cyril Rioli,2010,Round 3,130
Grant Birchall,2010,Round 3,95
Jordan Lewis,2010,Round 3,64
Brent Guerra,2010,Round 3,89
Xavier Ellis,2010,Round 3,84
Rick Ladson,2010,Round 3,71
Lance Franklin,2010,Round 3,74
Carl Peterson,2010,Round 3,97
Garry Moss,2010,Round 3,72
Matthew Suckling,2010,Round 3,65
Benjamin Stratton,2010,Round 3,62
Campbell Brown,2010,Round 3,50
Stephen Gilham,2010,Round 3,55
Jarryd Roughead,2010,Round 3,81
Brent Renouf,2010,Round 3,67
Ryan Schoenmakers,2010,Round 3,53
Chance Bateman,2010,Round 3,43
Jarryd Morton,2010,Round 3,45
Thomas Murphy,2010,Round 3,27
Josh Gibson,2010,Round 3,3
Matthew Pavlich,2010,Round 3,126
Paul Duffield,2010,Round 3,87
Stephen Hill,2010,Round 3,96
Paul Hasleby,2010,Round 3,69
David Mundy,2010,Round 3,66
Greg Broughton,2010,Round 3,68
Ryan Crowley,2010,Round 3,68
Christopher Mayne,2010,Round 3,75
Michael Barlow,2010,Round 3,46
Aaron Sandilands,2010,Round 3,89
Michael Johnson,2010,Round 3,75
Anthony Morabito,2010,Round 3,98
Luke McPharlin,2010,Round 3,61
Roger Hayden,2010,Round 3,63
Hayden Ballantyne,2010,Round 3,63
Des Headland,2010,Round 3,64
Nicholas Suban,2010,Round 3,53
Adam McPhee,2010,Round 3,53
Steven Dodd,2010,Round 3,22
Jay Van Berlo,2010,Round 3,40
Matthew De Boer,2010,Round 3,20
Alex Silvagni,2010,Round 3,51
Gary Ablett,2010,Round 3,130
Paul Chapman,2010,Round 3,146
Joel Selwood,2010,Round 3,87
Corey Enright,2010,Round 3,97
Jimmy Bartel,2010,Round 3,92
Andrew Mackie,2010,Round 3,85
Harry Taylor,2010,Round 3,87
Joel Corey,2010,Round 3,83
Cameron Ling,2010,Round 3,77
Josh Hunt,2010,Round 3,81
Tom Lonergan,2010,Round 3,65
James Podsiadly,2010,Round 3,85
James Kelly,2010,Round 3,77
Steve Johnson,2010,Round 3,77
Shannon Byrnes,2010,Round 3,57
Mark Blake,2010,Round 3,49
Mitchell Duncan,2010,Round 3,74
David Wojcinski,2010,Round 3,36
Nathan Djerrkura,2010,Round 3,40
Tom Hawkins,2010,Round 3,58
Dawson Simpson,2010,Round 3,56
Ryan Gamble,2010,Round 3,38
Matthew Priddis,2010,Round 4,92
Andrew Embley,2010,Round 4,111
Beau Waters,2010,Round 4,98
Brad Ebert,2010,Round 4,94
Dean Cox,2010,Round 4,99
Adam Selwood,2010,Round 4,107
Matthew Rosa,2010,Round 4,77
Scott Selwood,2010,Round 4,66
Chris Masten,2010,Round 4,68
Bradd Dalziell,2010,Round 4,72
Brett Jones,2010,Round 4,54
Patrick McGinnity,2010,Round 4,57
Ashley Hansen,2010,Round 4,73
Matthew Spangher,2010,Round 4,43
Nicholas Naitanui,2010,Round 4,79
Darren Glass,2010,Round 4,42
Joshua Kennedy,2010,Round 4,87
Mitchell Brown,2010,Round 4,59
Daniel Kerr,2010,Round 4,43
Will Schofield,2010,Round 4,41
Ashton Hams,2010,Round 4,48
Mark Lecras,2010,Round 4,60
Jobe Watson,2010,Round 4,105
Nathan L-Murray,2010,Round 4,84
David Hille,2010,Round 4,114
Andrew Welsh,2010,Round 4,57
Dustin Fletcher,2010,Round 4,61
Jason Winderlich,2010,Round 4,85
Heath Hocking,2010,Round 4,80
Bachar Houli,2010,Round 4,69
Travis Colyer,2010,Round 4,73
Jake Melksham,2010,Round 4,59
Rick Dyson,2010,Round 4,60
Cale Hooker,2010,Round 4,64
Sam Lonergan,2010,Round 4,43
David Zaharakis,2010,Round 4,93
Kyle Reimers,2010,Round 4,64
Henry Slattery,2010,Round 4,60
Patrick Ryder,2010,Round 4,80
Courtenay Dempsey,2010,Round 4,57
Tayte Pears,2010,Round 4,46
Michael Hurley,2010,Round 4,47
Scott Gumbleton,2010,Round 4,33
Mark Williams,2010,Round 4,45
Brent Harvey,2010,Round 4,96
Leigh Adams,2010,Round 4,88
Brady Rawlings,2010,Round 4,71
Ryan Bastinac,2010,Round 4,94
Daniel Wells,2010,Round 4,94
Liam Anthony,2010,Round 4,71
Hamish McIntosh,2010,Round 4,89
Andrew Swallow,2010,Round 4,87
David Hale,2010,Round 4,61
Gavin Urquhart,2010,Round 4,46
Jack Ziebell,2010,Round 4,60
Michael Firrito,2010,Round 4,36
Aaron Edwards,2010,Round 4,69
Scott McMahon,2010,Round 4,53
Ben Warren,2010,Round 4,47
Scott Thompson,2010,Round 4,33
Lindsay Thomas,2010,Round 4,52
Samuel Wright,2010,Round 4,28
Lachlan Hansen,2010,Round 4,48
Nathan Grima,2010,Round 4,30
Leigh Harding,2010,Round 4,33
Todd Goldstein,2010,Round 4,44
Daniel Hannebery,2010,Round 4,115
Tadhg Kennelly,2010,Round 4,96
Jude Bolton,2010,Round 4,88
Adam Goodes,2010,Round 4,90
Rhyce Shaw,2010,Round 4,75
Ryan O'Keefe,2010,Round 4,92
Kieren Jack,2010,Round 4,73
Daniel Bradshaw,2010,Round 4,117
Heath Grundy,2010,Round 4,68
Lewis Jetta,2010,Round 4,65
Brett Kirk,2010,Round 4,111
Josh P. Kennedy,2010,Round 4,71
Martin Mattner,2010,Round 4,71
Jarred Moore,2010,Round 4,64
Lewis R-Thomson,2010,Round 4,69
Jarrad McVeigh,2010,Round 4,51
Nick Malceski,2010,Round 4,38
Mark Seaby,2010,Round 4,55
Shane Mumford,2010,Round 4,83
Ben McGlynn,2010,Round 4,47
Craig Bolton,2010,Round 4,11
Jesse White,2010,Round 4,30
Bernie Vince,2010,Round 4,90
Andrew McLeod,2010,Round 4,80
Tyson Edwards,2010,Round 4,105
Chris Knights,2010,Round 4,105
David MacKay,2010,Round 4,51
Myke Cook,2010,Round 4,52
Brent Reilly,2010,Round 4,74
Scott Thompson,2010,Round 4,88
Brett Burton,2010,Round 4,85
Simon Goodwin,2010,Round 4,66
Phil Davis,2010,Round 4,69
Graham Johncock,2010,Round 4,61
Chris Schmidt,2010,Round 4,60
Taylor Walker,2010,Round 4,62
Patrick Dangerfield,2010,Round 4,56
Richard Douglas,2010,Round 4,58
Michael Doughty,2010,Round 4,50
Ben Rutten,2010,Round 4,38
Ivan Maric,2010,Round 4,52
Jason Porplyzia,2010,Round 4,40
Kurt Tippett,2010,Round 4,46
Jared Petrenko,2010,Round 4,42
Andrew Walker,2010,Round 4,134
Marc Murphy,2010,Round 4,144
Chris Judd,2010,Round 4,121
Kane Lucas,2010,Round 4,93
Kade Simpson,2010,Round 4,143
Bryce Gibbs,2010,Round 4,92
Andrew Carrazzo,2010,Round 4,95
Heath Scotland,2010,Round 4,80
Ryan Houlihan,2010,Round 4,93
Jordan Russell,2010,Round 4,82
Simon White,2010,Round 4,74
Eddie Betts,2010,Round 4,89
Matthew Kreuzer,2010,Round 4,88
Lachlan Henderson,2010,Round 4,71
Dennis Armfield,2010,Round 4,55
Michael Jamison,2010,Round 4,57
Jeff Garlett,2010,Round 4,77
Christopher Yarran,2010,Round 4,50
Setanta O'hAilpin,2010,Round 4,36
Robert Warnock,2010,Round 4,51
Mitch Robinson,2010,Round 4,28
Aaron Joseph,2010,Round 4,36
Luke Power,2010,Round 4,110
Michael Rischitelli,2010,Round 4,89
Jared Brennan,2010,Round 4,108
Andrew Raines,2010,Round 4,80
Travis Johnstone,2010,Round 4,92
Tom Rockliff,2010,Round 4,78
Jonathan Brown,2010,Round 4,87
Albert Proud,2010,Round 4,71
Justin Sherman,2010,Round 4,69
James Hawksley,2010,Round 4,71
Troy Selwood,2010,Round 4,73
Josh Drummond,2010,Round 4,67
Brendan Fevola,2010,Round 4,84
Daniel Rich,2010,Round 4,51
Brent Staker,2010,Round 4,62
Matthew Leuenberger,2010,Round 4,89
James Polkinghorne,2010,Round 4,54
Jack Redden,2010,Round 4,57
Joel Patfull,2010,Round 4,53
Todd Banfield,2010,Round 4,70
Daniel Merrett,2010,Round 4,56
Matthew Maguire,2010,Round 4,41
Matthew Boyd,2010,Round 4,95
Ryan Griffen,2010,Round 4,97
Daniel Cross,2010,Round 4,65
Adam Cooney,2010,Round 4,89
Shaun Higgins,2010,Round 4,98
Jarrod Harbrow,2010,Round 4,77
Brian Lake,2010,Round 4,64
Ryan Hargrave,2010,Round 4,65
Ben Hudson,2010,Round 4,68
Dylan Addison,2010,Round 4,73
Daniel Giansiracusa,2010,Round 4,86
Nathan Eagleton,2010,Round 4,59
Lindsay Gilbee,2010,Round 4,46
Brodie Moles,2010,Round 4,49
Tom Williams,2010,Round 4,40
Josh Hill,2010,Round 4,54
Andrejs Everitt,2010,Round 4,42
Barry Hall,2010,Round 4,55
Robert Murphy,2010,Round 4,33
Dale Morris,2010,Round 4,46
Will Minson,2010,Round 4,52
Mitch Hahn,2010,Round 4,25
Dane Swan,2010,Round 4,119
Alan Didak,2010,Round 4,89
Scott Pendlebury,2010,Round 4,108
Steele Sidebottom,2010,Round 4,112
Heath Shaw,2010,Round 4,111
Dale Thomas,2010,Round 4,110
Dayne Beams,2010,Round 4,89
Ben Johnson,2010,Round 4,81
Sharrod Wellingham,2010,Round 4,82
Paul Medhurst,2010,Round 4,73
Leon Davis,2010,Round 4,94
Travis Cloke,2010,Round 4,90
Nick Maxwell,2010,Round 4,73
Alan Toovey,2010,Round 4,51
Brent Macaffer,2010,Round 4,70
Luke Ball,2010,Round 4,62
Darren Jolly,2010,Round 4,87
Heritier Lumumba,2010,Round 4,62
Tarkyn Lockyer,2010,Round 4,74
Josh Fraser,2010,Round 4,49
Simon Prestigiacomo,2010,Round 4,31
Leigh Brown,2010,Round 4,30
Luke Hodge,2010,Round 4,114
Chance Bateman,2010,Round 4,118
Xavier Ellis,2010,Round 4,83
Grant Birchall,2010,Round 4,89
Sam Mitchell,2010,Round 4,66
Brent Guerra,2010,Round 4,61
Stephen Gilham,2010,Round 4,86
Thomas Murphy,2010,Round 4,85
Cyril Rioli,2010,Round 4,68
Rick Ladson,2010,Round 4,49
Jordan Lewis,2010,Round 4,63
Brendan Whitecross,2010,Round 4,87
Jarryd Morton,2010,Round 4,69
Campbell Brown,2010,Round 4,89
Ryan Schoenmakers,2010,Round 4,54
Michael Osborne,2010,Round 4,51
Jarryd Roughead,2010,Round 4,54
Carl Peterson,2010,Round 4,41
Clinton Young,2010,Round 4,72
Brent Renouf,2010,Round 4,60
Benjamin Stratton,2010,Round 4,41
Garry Moss,2010,Round 4,39
Shane Tuck,2010,Round 4,127
Brett Deledio,2010,Round 4,93
Andrew Collins,2010,Round 4,82
Daniel Jackson,2010,Round 4,72
Trent Cotchin,2010,Round 4,48
Jack Riewoldt,2010,Round 4,120
Kelvin Moore,2010,Round 4,68
Shane Edwards,2010,Round 4,75
Dustin Martin,2010,Round 4,48
Tom Hislop,2010,Round 4,63
Ben Nason,2010,Round 4,78
Richard Tambling,2010,Round 4,63
Mitch Morton,2010,Round 4,55
Matthew White,2010,Round 4,47
Mitch Farmer,2010,Round 4,60
Alex Rance,2010,Round 4,36
Troy Simmonds,2010,Round 4,49
Matthew Dea,2010,Round 4,30
Troy Taylor,2010,Round 4,46
Tyrone Vickery,2010,Round 4,44
Jayden Post,2010,Round 4,34
David Astbury,2010,Round 4,51
Brent Moloney,2010,Round 4,131
James McDonald,2010,Round 4,120
Cameron Bruce,2010,Round 4,97
Nathan Jones,2010,Round 4,95
Tom Scully,2010,Round 4,88
Brad Green,2010,Round 4,116
Jordie McKenzie,2010,Round 4,92
Aaron Davey,2010,Round 4,70
Joel Macdonald,2010,Round 4,61
Colin Sylvia,2010,Round 4,125
Lynden Dunn,2010,Round 4,85
Jack Grimes,2010,Round 4,82
Jack Trengove,2010,Round 4,64
Matthew Bate,2010,Round 4,109
Ricky Petterd,2010,Round 4,83
Colin Garland,2010,Round 4,46
Clint Bartram,2010,Round 4,55
James Frawley,2010,Round 4,51
Rohan Bail,2010,Round 4,79
Mark Jamar,2010,Round 4,71
Matthew Warnock,2010,Round 4,39
Jamie Bennell,2010,Round 4,33
Gary Ablett,2010,Round 4,133
Joel Corey,2010,Round 4,125
Corey Enright,2010,Round 4,106
Harry Taylor,2010,Round 4,109
Paul Chapman,2010,Round 4,127
James Kelly,2010,Round 4,102
Cameron Ling,2010,Round 4,116
David Wojcinski,2010,Round 4,82
Jimmy Bartel,2010,Round 4,109
Darren Milburn,2010,Round 4,79
Mitchell Duncan,2010,Round 4,89
Tom Lonergan,2010,Round 4,65
Andrew Mackie,2010,Round 4,69
Joel Selwood,2010,Round 4,60
Josh Hunt,2010,Round 4,59
Cameron Mooney,2010,Round 4,90
Steve Johnson,2010,Round 4,103
Tom Hawkins,2010,Round 4,78
Shannon Byrnes,2010,Round 4,69
James Podsiadly,2010,Round 4,115
Mark Blake,2010,Round 4,45
Brad Ottens,2010,Round 4,58
Kane Cornes,2010,Round 4,91
Danyle Pearce,2010,Round 4,89
Domenic Cassisi,2010,Round 4,95
Alipate Carlile,2010,Round 4,68
Steven Salopek,2010,Round 4,53
Troy Chaplin,2010,Round 4,73
Jason Davenport,2010,Round 4,92
Jacob Surjan,2010,Round 4,63
Nathan Krakouer,2010,Round 4,71
Robbie Gray,2010,Round 4,65
Travis Boak,2010,Round 4,59
Tom Logan,2010,Round 4,56
Warren Tredrea,2010,Round 4,68
David Rodan,2010,Round 4,44
Justin Westhoff,2010,Round 4,69
Matt Thomas,2010,Round 4,55
Brett Ebert,2010,Round 4,72
Dean Brogan,2010,Round 4,59
Chad Cornes,2010,Round 4,33
Cameron Hitchcock,2010,Round 4,32
Jackson Trengove,2010,Round 4,27
Daniel Stewart,2010,Round 4,33
Nick Dal Santo,2010,Round 4,130
Clinton Jones,2010,Round 4,99
Leigh Montagna,2010,Round 4,95
Jason Gram,2010,Round 4,104
Lenny Hayes,2010,Round 4,99
Jarryn Geary,2010,Round 4,95
David Armitage,2010,Round 4,99
Stephen Milne,2010,Round 4,108
Brendon Goddard,2010,Round 4,130
Jason Blake,2010,Round 4,79
Adam Schneider,2010,Round 4,76
Andrew McQualter,2010,Round 4,84
Sam Gilbert,2010,Round 4,62
Steven Baker,2010,Round 4,85
James Gwilt,2010,Round 4,70
Sam Fisher,2010,Round 4,71
Michael S. Gardiner,2010,Round 4,47
Brett Peake,2010,Round 4,49
Raphael Clarke,2010,Round 4,43
Farren Ray,2010,Round 4,54
Zac Dawson,2010,Round 4,49
Steven King,2010,Round 4,29
Paul Duffield,2010,Round 4,135
Greg Broughton,2010,Round 4,88
Michael Barlow,2010,Round 4,78
Roger Hayden,2010,Round 4,105
David Mundy,2010,Round 4,102
Luke McPharlin,2010,Round 4,88
Aaron Sandilands,2010,Round 4,113
Alex Silvagni,2010,Round 4,83
Stephen Hill,2010,Round 4,89
Michael Johnson,2010,Round 4,64
Paul Hasleby,2010,Round 4,45
Matthew Pavlich,2010,Round 4,94
Chris Tarrant,2010,Round 4,62
Clancee Pearce,2010,Round 4,90
Anthony Morabito,2010,Round 4,47
Christopher Mayne,2010,Round 4,56
Adam McPhee,2010,Round 4,59
Matthew De Boer,2010,Round 4,52
Des Headland,2010,Round 4,37
Jay Van Berlo,2010,Round 4,28
Ryan Crowley,2010,Round 4,54
Hayden Ballantyne,2010,Round 4,29
Daniel Giansiracusa,2010,Round 5,125
Ryan Griffen,2010,Round 5,118
Lindsay Gilbee,2010,Round 5,124
Brodie Moles,2010,Round 5,102
Adam Cooney,2010,Round 5,99
Brad Johnson,2010,Round 5,83
Nathan Eagleton,2010,Round 5,114
Daniel Cross,2010,Round 5,95
Mitch Hahn,2010,Round 5,94
Jason Akermanis,2010,Round 5,74
Robert Murphy,2010,Round 5,72
Jarrod Harbrow,2010,Round 5,72
Brian Lake,2010,Round 5,80
Tom Williams,2010,Round 5,68
Shaun Higgins,2010,Round 5,87
Andrejs Everitt,2010,Round 5,66
Jarrad Grant,2010,Round 5,58
Barry Hall,2010,Round 5,98
Dylan Addison,2010,Round 5,54
Ben Hudson,2010,Round 5,64
Dale Morris,2010,Round 5,31
Jordan Roughead,2010,Round 5,64
Scott Thompson,2010,Round 5,108
Tyson Edwards,2010,Round 5,97
Bernie Vince,2010,Round 5,94
Graham Johncock,2010,Round 5,81
Brent Reilly,2010,Round 5,95
Andrew McLeod,2010,Round 5,65
Simon Goodwin,2010,Round 5,82
Michael Doughty,2010,Round 5,72
Ben Rutten,2010,Round 5,63
Richard Douglas,2010,Round 5,54
Phil Davis,2010,Round 5,71
Myke Cook,2010,Round 5,83
Brett Burton,2010,Round 5,82
Chris Knights,2010,Round 5,66
Nathan Van Berlo,2010,Round 5,51
Chris Schmidt,2010,Round 5,67
Jason Porplyzia,2010,Round 5,77
Patrick Dangerfield,2010,Round 5,51
Ivan Maric,2010,Round 5,65
Kurt Tippett,2010,Round 5,68
Jared Petrenko,2010,Round 5,36
Ricky Henderson,2010,Round 5,33
Nick Malceski,2010,Round 5,106
Ryan O'Keefe,2010,Round 5,111
Heath Grundy,2010,Round 5,96
Jude Bolton,2010,Round 5,95
Kieren Jack,2010,Round 5,101
Tadhg Kennelly,2010,Round 5,75
Jarrad McVeigh,2010,Round 5,100
Adam Goodes,2010,Round 5,93
Martin Mattner,2010,Round 5,59
Rhyce Shaw,2010,Round 5,91
Brett Kirk,2010,Round 5,79
Josh P. Kennedy,2010,Round 5,70
Lewis R-Thomson,2010,Round 5,65
Jarred Moore,2010,Round 5,64
Daniel Hannebery,2010,Round 5,44
Lewis Jetta,2010,Round 5,76
Nick Smith,2010,Round 5,59
Shane Mumford,2010,Round 5,43
Daniel Bradshaw,2010,Round 5,95
Craig Bolton,2010,Round 5,46
Mark Seaby,2010,Round 5,56
Jesse White,2010,Round 5,55
Beau Waters,2010,Round 5,115
Adam Selwood,2010,Round 5,99
Matthew Priddis,2010,Round 5,85
Brett Jones,2010,Round 5,61
Matthew Rosa,2010,Round 5,72
Bradd Dalziell,2010,Round 5,66
Dean Cox,2010,Round 5,102
Shannon Hurn,2010,Round 5,55
Matthew Spangher,2010,Round 5,64
Andrew Embley,2010,Round 5,84
Brad Ebert,2010,Round 5,57
Chris Masten,2010,Round 5,43
Lewis Stevenson,2010,Round 5,56
Ashton Hams,2010,Round 5,68
Joshua Kennedy,2010,Round 5,72
Mark Lecras,2010,Round 5,46
Will Schofield,2010,Round 5,44
Scott Selwood,2010,Round 5,49
Patrick McGinnity,2010,Round 5,30
Nicholas Naitanui,2010,Round 5,55
Darren Glass,2010,Round 5,17
Mitchell Brown,2010,Round 5,21
Brent Moloney,2010,Round 5,103
Matthew Bate,2010,Round 5,108
Cameron Bruce,2010,Round 5,102
Nathan Jones,2010,Round 5,81
Jack Trengove,2010,Round 5,108
Brad Green,2010,Round 5,89
James McDonald,2010,Round 5,90
